PWNETWPG,PAGEMIEG,PATTCRU,PATTSITC,PATTSKP,PEDUCMIE,PEFATINC,PFMTYPG,PFTENUR,PLFFPTME,PNBEARG,PPVRES,PWAPRVAL,PWASTDEP,PWATFS,PWDPRMOR,PWDSLOAN,PWDSTCRD,PWDSTLOC,DTI,Liquidity,Behavior Score,FSI
492650.0,2,3,3,2,3,126325,9,2,1,2,46,390000,22000,5250,180000,0,5000,33000,1.7257075004947555,0.21571343756184444,0,1.121709875321591
872300.0,3,3,2,2,3,138675,2,2,1,9,13,240000,2900,400,135000,0,18000,115000,1.9325761672976383,0.023796646836127637,0,1.169064359113034
141600.0,4,4,3,2,4,72825,3,3,1,3,48,0,4100,27000,0,0,0,0,0.0,0.4270511500171644,0,0.1708204600068658
377500.0,6,4,3,2,1,105675,2,1,2,9,10,260000,19000,15500,0,0,0,0,0.0,0.32647267565649396,0,0.13058907026259758
1280.0,3,6,3,2,2,36550,1,3,1,1,48,0,5,0,0,3000,0,0,0.08207934336525308,0.00013679890560875513,0,0.04930232558139535
1626500.0,6,4,3,2,3,60500,2,1,3,0,35,310000,17500,190000,0,0,0,0,0.0,3.4297520661157024,0,1.371900826446281
-44045.0,2,2,3,1,3,41200,1,3,1,1,35,0,30,125,0,50000,1500,0,1.25,0.003762135922330097,1,0.751504854368932
2849250.0,6,4,3,2,4,87100,2,1,3,1,59,1600000,85000,85000,0,0,0,8750,0.10045924225028703,1.9517795637198623,0,0.8409873708381171
1750750.0,6,4,3,2,3,79150,4,1,3,1,35,875000,5250,55000,0,0,0,0,0.0,0.7612128869235628,0,0.30448515476942517
211200.0,3,1,3,2,3,950,1,3,3,0,48,0,225,475,0,0,0,0,0.0,0.7368421052631579,1,0.29473684210526313
22500.0,7,4,3,2,1,24450,1,3,3,0,46,0,5000,0,0,0,0,0,0.0,0.20449897750511248,0,0.081799591002045
2839500.0,6,4,2,2,4,119375,2,1,1,1,12,400000,175000,165000,0,0,0,0,0.0,2.8481675392670156,0,1.1392670157068063
243100.0,3,3,2,2,2,114975,3,2,1,3,59,380000,10000,0,165000,0,3900,27000,1.7038486627527722,0.08697542944118286,0,1.0570993694281365
728500.0,4,3,1,2,3,163025,1,2,1,1,24,825000,57500,0,460000,0,9500,62500,3.263303174359761,0.3527066400858764,0,2.099064560650207
3230000.0,5,4,3,2,3,129350,2,1,1,1,59,1150000,25000,150000,0,0,0,0,0.0,1.3529184383455741,0,0.5411673753382297
26750.0,5,4,2,1,3,175600,4,3,1,2,59,0,1750,0,0,0,0,0,0.0,0.009965831435079727,1,0.003986332574031891
-14705.0,2,2,2,2,2,56175,3,3,1,1,24,0,0,0,0,0,18000,5,0.32051624388072986,0.0,0,0.19230974632843792
2489500.0,5,4,1,2,4,163150,2,1,1,2,59,1200000,370000,57500,0,0,0,0,0.0,2.6202880784554092,0,1.0481152313821638
508000.0,3,4,3,2,4,87100,1,2,1,1,35,550000,14500,43000,440000,0,0,0,5.051664753157291,0.6601607347876005,0,3.2950631458094146
982725.0,5,3,2,2,2,127825,2,2,1,2,46,150000,725,0,42000,0,14000,155000,1.6506943086250734,0.005671816937218854,0,0.9926853119499315
2762750.0,6,3,3,2,4,116250,2,2,2,2,59,1800000,8750,3000,100000,0,0,62500,1.3978494623655915,0.1010752688172043,0,0.8791397849462366
-43250.0,1,6,3,2,1,84175,4,3,1,2,59,0,50,0,0,45000,0,0,0.5346005346005346,0.000594000594000594,0,0.32099792099792096
729000.0,3,3,3,2,2,83200,1,2,1,1,59,750000,7000,13000,180000,0,6000,0,2.235576923076923,0.2403846153846154,0,1.4375
205000.0,4,6,2,2,3,32700,3,2,3,1,35,100000,5,0,5,0,0,0,0.0001529051987767584,0.0001529051987767584,0,0.0001529051987767584
840955.0,3,3,2,2,3,87300,3,2,1,2,35,500000,2100,2100,100000,0,2000,5250,1.2285223367697595,0.048109965635738834,0,0.7563573883161513
2332400.0,6,4,3,2,3,62950,9,1,2,1,10,280000,43000,3900,0,0,0,0,0.0,0.7450357426528992,0,0.29801429706115967
14275.0,4,3,2,1,3,26400,3,3,3,1,35,0,4100,0,0,14500,0,0,0.5492424242424242,0.1553030303030303,1,0.39166666666666666
1406750.0,6,4,2,2,4,58300,1,3,3,1,46,0,14500,70000,0,0,0,0,0.0,1.4493996569468268,0,0.5797598627787307
946750.0,6,4,3,2,4,152700,2,1,1,9,48,440000,26000,0,0,0,0,0,0.0,0.17026850032743943,0,0.06810740013097577
3453300.0,6,4,3,2,4,125475,2,1,3,0,35,1050000,4300,0,0,0,0,40000,0.31878860330743175,0.03426977485554891,0,0.2049810719266786
1181500.0,6,4,3,2,4,90675,2,1,3,0,46,310000,90000,105000,0,0,0,0,0.0,2.150537634408602,0,0.8602150537634409
497300.0,4,3,3,2,2,122150,3,2,1,3,35,380000,1700,0,270000,0,55000,41000,2.9963160049119932,0.01391731477691363,0,1.8033565288579612
277505.0,4,2,2,2,3,81550,4,3,1,1,35,0,11000,5,0,0,57500,0,0.7050889025137952,0.13494788473329247,0,0.4770324954015941
2106500.0,3,4,3,2,4,238825,3,2,1,1,35,875000,410000,185000,47500,0,9500,0,0.23866848110541192,2.4913639694336855,0,1.1397466764367215
852505.0,6,4,3,2,2,64725,4,1,2,1,48,410000,31000,65000,0,0,0,0,0.0,1.4831981460023176,0,0.5932792584009271
1682675.0,3,3,1,2,4,66100,1,3,1,1,35,0,1050,0,0,0,1350,0,0.02042360060514372,0.01588502269288956,0,0.018608169440242055
4179000.0,6,4,2,2,4,154100,2,1,3,0,35,2100000,72500,190000,0,0,0,0,0.0,1.7034393251135627,0,0.6813757300454251
1600.0,1,6,2,2,2,58575,4,3,1,2,35,0,150,0,0,2700,0,0,0.046094750320102434,0.002560819462227913,0,0.028681177976952625
114155.0,3,4,3,2,4,22625,1,3,1,1,35,0,21000,55000,0,0,0,0,0.0,3.3591160220994474,0,1.343646408839779
593500.0,6,4,3,2,3,46000,2,1,3,1,47,95000,62500,9000,0,0,0,0,0.0,1.5543478260869565,0,0.6217391304347827
996000.0,6,3,3,2,3,143050,4,2,1,1,12,460000,5000,0,125000,0,2000,21000,1.034603285564488,0.03495281370150297,0,0.634743096819294
241500.0,3,4,3,2,4,112550,2,2,1,2,10,290000,5000,0,260000,0,0,0,2.3100844069302533,0.0444247001332741,0,1.4038205242114616
53825.0,3,2,2,2,9,44475,9,2,1,9,13,115000,825,0,55000,0,13500,4000,1.6301292861157954,0.01854974704890388,0,0.9854974704890387
23500.0,6,6,2,2,2,25150,1,3,3,0,59,0,1000,10000,0,0,0,0,0.0,0.43737574552683894,0,0.1749502982107356
47175.0,5,6,3,2,1,12500,1,3,3,0,59,0,575,0,0,0,0,0,0.0,0.046,0,0.0184
2380000.0,5,4,3,2,3,82450,2,1,1,2,59,1000000,60000,10000,0,0,0,0,0.0,0.8489993935718617,0,0.3395997574287447
347500.0,2,4,2,2,4,99950,3,2,1,2,46,400000,2500,130000,310000,0,0,52500,3.6268134067033517,1.325662831415708,0,2.706353176588294
3814250.0,6,4,3,2,3,97275,4,1,3,0,59,2000000,14500,0,0,0,10000,875000,9.097918272937548,0.14906193780519147,0,5.518375738884605
16270.0,2,6,2,1,2,70975,2,3,1,2,59,0,20,0,0,10000,0,0,0.14089468122578372,0.00028178936245156747,1,0.08464952448045086
1313000.0,5,4,2,2,3,60200,4,1,3,1,48,525000,240000,130000,0,0,2500,0,0.04152823920265781,6.146179401993355,0,2.483388704318937
33050.0,6,4,3,2,3,27050,1,3,3,0,24,0,6000,10500,0,0,0,0,0.0,0.609981515711645,0,0.24399260628465802
303100.0,1,2,2,1,3,117825,2,2,1,2,24,410000,0,0,230000,21000,1400,0,2.1421599830256737,0.0,1,1.2852959898154042
1077500.0,6,4,3,2,4,57200,1,1,3,0,46,350000,47500,85000,0,0,0,0,0.0,2.3164335664335662,0,0.9265734265734266
1512000.0,7,2,3,2,4,71000,2,1,3,0,48,675000,3500,77500,0,0,0,0,0.0,1.1408450704225352,0,0.45633802816901414
379100.0,3,4,3,2,2,63400,1,2,1,1,46,350000,6500,45000,155000,0,0,0,2.444794952681388,0.8123028391167192,0,1.7917981072555205
252575.0,4,4,2,1,3,46700,1,2,1,1,35,250000,2500,7000,80000,0,425,12000,1.9791220556745182,0.20342612419700215,1,1.2688436830835117
929175.0,3,4,2,2,3,106825,4,2,1,2,46,550000,5000,0,390000,0,0,6000,3.7069974256962324,0.0468055230517201,0,2.2429206646384277
2338500.0,5,4,3,2,4,158750,1,2,1,1,24,825000,41000,0,200000,0,0,0,1.2598425196850394,0.25826771653543307,0,0.8592125984251968
2266000.0,6,4,3,2,2,125950,2,1,1,2,59,925000,46000,180000,0,0,0,0,0.0,1.7943628423977769,0,0.7177451369591108
859000.0,3,4,1,2,4,175700,3,2,1,2,24,525000,31000,5000,135000,0,0,0,0.7683551508252704,0.20489470688673875,0,0.5429709732498578
-13155.0,4,2,2,2,3,9750,1,3,3,0,48,0,-80,0,0,0,5000,0,0.5128205128205128,-0.008205128205128205,0,0.3044102564102564
-1325.0,2,3,3,2,3,41350,1,3,1,1,13,0,1250,0,0,25000,300,725,0.6293833131801693,0.030229746070133012,0,0.38972188633615473
